name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.camel.AlreadyStoppedException,1,4,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,0.21094143627011794,0.050169444951275226,-0.08630078436517287,0.056125462808540735,0.27459218041167743,0.09794050388065051,-0.008618692872074223,0.016222104407724074,-0.13702168855300992,-0.023447415877776826,0.00890544845347537,0.05960527450308023,-0.02844501701413745,0.06383932709870067,-0.10033413726159703,0.1461160985434968,-0.20151788075959792,0.2154517619252888,0.10945313523395984,0.23358621814837355,0.3261913502660931,-0.2394756153506314,0.16011695991009764,-0.22041049643433683,-0.13501968132607386,-0.4042133132169736,-0.04538841585368503,-0.3132468961285084,-0.1549047097849867,-0.31661259199021763,0.011854142833617793,-0.00888572305835601,0
org.apache.camel.AsyncCallback,1,1,0,56,1,0,56,0,1,2,1,0,0,0,1,0,0,0,1,1,0.17904218819902096,0.005429266748366588,0.20434317763482038,0.009349190521979646,0.47842697319053834,-0.07486034533670871,-0.16507849555972193,0.021107645784702055,0.08737372225653298,0.047133112765355374,-0.32679621146178495,-0.21495601547326293,0.1932863739499261,0.09237214961675616,0.35197379218380465,-0.19254480387940054,-0.014612076543982295,-0.10116399105933195,-0.06671444962885018,-0.04414552773594596,0.03726315283223766,0.09152179299297619,-0.035471970550351895,0.026379462754148285,0.09552520630830987,0.07266009172757135,0.14513400881608038,-0.2093169533671485,0.3137608114987956,0.2928747282476575,-0.034965494984821995,-0.0296119203121095,1
org.apache.camel.AsyncProcessor,1,1,0,34,1,0,31,3,1,2,1,0,0,0,1,0,0,0,1,1,0.18340145178203018,0.003001213714424517,0.1640587812962408,0.00831351073727012,0.5024487094283565,-0.06991245994278526,-0.14207547685713523,0.0009745623843588336,0.09389771010547068,0.05353229771385508,-0.3177145325408381,-0.22023925072732242,0.18695568602960164,0.0943102306163604,0.32225702001441425,-0.1783472195600794,-0.018747168476013053,-0.10182565010474501,-0.03964147598179393,-0.031289720958297844,0.05691883863399505,0.10933872347157321,-0.03412115361572266,0.03829105375614869,0.08025870670263174,0.045419550862290874,0.17555260121826474,-0.20346294002306137,0.33484595620133467,0.3108373680614323,-0.014059008141076914,-0.021259093090240384,1
org.apache.camel.Body,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.07577604807045567,-0.019738441975271668,-0.0023261550413777978,0.0850790649913416,-0.1967449528884792,-0.020652128056481724,-0.11349360542442066,0.006865074245386849,-0.025672123796596873,0.005688515563958573,-0.0026924811063200444,-0.0543363548249776,-0.10513654627100429,-0.004027288670283073,0.1993053868480041,-0.2798041151482541,-0.4714777873634887,0.5508475866722057,0.015022524102665776,-0.08530722745034776,-0.20442440407034385,0.18751560085885058,-0.043682538292992755,-0.05147855328642095,-0.1504565062376754,-0.2758309354066644,0.17177458046094696,0.0007970770109094858,0.04500582562710965,0.20889525409642898,-0.08410997692660503,-0.07827040361869747,0
org.apache.camel.CamelContext,35,1,0,172,35,595,162,14,35,2,35,0,0,0,0.147619048,0,0,0,1,1,0.33822044106070576,-0.04639021962953088,0.4588366567790202,-0.12341037050872383,-0.2673590803639102,-0.17848712126464245,-0.1629358979906513,0.12644042158048782,-0.1271916050913336,-0.0844907400927113,0.25998477837777606,-0.20978283503212444,0.05540034783091241,-0.22993234408580943,0.004861082874654992,-0.06258075315131184,0.1350307017428381,0.071652667380072,0.19748419066036413,-0.11212568314351747,0.06478255207994184,-0.02798250308332168,-0.041910407998932454,0.023653834469217483,0.0985684867340345,-0.1929460194794603,0.3811060477416108,0.13572913325904432,0.0030102050131319636,-0.13045120351918688,-0.06465158847750459,-0.05453989728754601,1
org.apache.camel.CamelContextAware,1,1,0,10,1,0,9,1,1,2,1,0,0,0,1,0,0,0,1,1,0.2733323192741734,-0.08121118126087061,0.14919974626035942,-0.29605752769687527,-0.2784259806610852,-0.04633469200560015,-0.12043747046353842,0.06054435325132054,-0.009157481056405183,-0.1660126888284094,0.10993275137428243,-0.17147603100737524,-0.025837761464954156,0.00767039330867058,0.17916924017277527,-0.13215627492792928,0.3798844590481299,0.11063862483174963,-0.050693118030105566,-0.2421859888981181,-0.05956513782960089,-0.12768824905401888,-0.09408147472699468,-0.08499658104337009,0.02444623433014527,0.19763647242679105,-0.06865058068832687,0.45094302339798376,-0.10571011882845147,0.07679393853006751,-0.12867808955468685,-0.23761925575163348,1
org.apache.camel.CamelException,4,3,4,14,8,6,14,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,0.256582342775987,0.09556947441012446,0.12911929566911143,-0.011266355483785104,0.23852837730876839,-0.021128495681401772,-0.02763543806852698,0.09639383503280054,-0.2650478389669764,0.14057251203248525,0.03678029622504765,0.1756904523508113,0.0203680068251179,0.11315513403878692,0.07228340149208738,0.028198423634120975,-0.014506404688976772,0.24544128221752165,0.032482018895811635,0.2358684800344257,0.42893794052736905,-0.13886121918614097,0.08014092761385036,-0.13986744804749232,-0.29700891358288617,-0.10163887750841359,-0.253167850676009,-0.16979322292373147,0.032427661833710486,0.29777431894080675,-0.24816824706205803,-0.10095588676723319,0
org.apache.camel.CamelExchangeException,4,4,8,13,10,0,11,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,0.15730540064077145,-0.058363047828493504,0.12053759984934055,0.30793278554519554,0.19487891990730705,-0.07542104917092737,-0.030286511858038156,0.08234887571914935,-0.08057025856166347,-0.07203644261037143,-0.07339328942485325,0.14343502497576527,-0.17974046631684593,0.21964465983023257,-0.23761171121171826,0.15258722181692422,0.04141847851245249,0.3729616283273238,-0.20857755298302927,0.39641532128251367,-0.16676038361947823,-0.16494091999198363,-0.04303397864175552,0.10245002546702918,-0.11225626735963105,-0.007677468052669582,0.1814465897167992,-0.16646845693487983,-0.20385689113243188,-0.2452933695859085,-0.03001127319634781,-0.16866628573357442,1
org.apache.camel.CamelTemplate,2,3,0,3,4,1,0,3,2,2,11,0,0,1,0.833333333,0,0,4.5,0,0,0.3304705130289145,-0.26602171802107044,-0.10571416419755728,-0.20765447353548194,-0.30749350026909517,0.22278880007967583,-0.12728783514670597,0.03982695067089076,0.24862635168176456,0.29323990227314134,-0.39019620834353086,0.08785797910451076,-0.0658702642816236,-0.05863895563464052,0.21073813064287628,-0.08158569765867082,0.1984517093813516,0.12020629592482793,-0.20931190435568808,0.15741524450601094,-0.053249441794256995,0.15557411629093365,-0.0221565688320069,0.12556510477350638,0.027398756142275642,0.1069482709199865,0.09359486257801382,0.054493143655294764,-0.10500373493982572,0.009550599103948308,-0.1185844111257489,-0.14937186889603307,0
org.apache.camel.Component,3,1,0,67,3,3,66,2,3,2,3,0,0,0,0.555555556,0,0,0,1,1,0.26766097380214576,-0.1718465525533347,0.3422024633561725,-0.16902816713624466,-0.12309519279209448,0.01186975932917577,0.17097503294946798,-0.01619162020088962,0.03124234005749249,0.3843928860007285,0.39442424633146755,-0.2508669627581908,-0.23424773978366584,0.03172114493642886,-0.10686634540161959,0.027317529229138417,-0.1211966397976881,-0.06268875768267591,0.14205695058041076,-0.16463306324191232,-0.0322801969404022,-0.19542464807797616,0.01628849976220096,-0.01808403596914214,-0.08863906750511306,0.06815530643522458,-0.08613874463997394,-0.0638005739079093,0.3160262234749901,-0.06474222005614522,0.07816579767456476,0.18217423177471662,0
