name,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,bug
org.apache.velocity.Template,0.1270913178265647,0.31757704268484277,0.37741770270579944,-0.06661113723114218,-0.21896767735923653,-0.1905905734495731,-0.12240528292915774,-0.33826386836324596,-0.14214104540394454,-0.019215998548003186,0.13384652060351024,-0.1697509927073583,0.03661554759257523,0.09710478516136191,-0.04967411807621886,0.1289775740899919,0.20382466302670224,0.1254096635005255,0.057928999004785285,-0.0834661286999704,0.10288347287067429,-0.05790778350416162,-0.1798905658962902,-0.13613906068645928,-0.22948386380653232,0.19842986865355955,-0.2195043345641845,0.21718909297080216,0.07678599721826466,0.024428225410528054,-0.05359948208214364,-0.309958849486214,1
org.apache.velocity.VelocityContext,0.04146227799647999,0.08206524511878167,0.1890302631474361,-0.20803250036022727,-0.055680063304774055,-0.07920434728591345,0.07294528448275074,-0.3182958496049643,-0.14623192936132376,0.04690255004520765,0.2591277821591076,-0.22932875838376363,0.1115983614672537,0.2486079674943885,0.012092446653526425,-0.02177070192505776,-0.23140073901851124,-0.1352292692198369,-0.20687715160179015,0.1999308926282677,-0.1890357448354518,-0.22160187001286744,0.3384584671126467,-0.14640918788695176,-0.11085838408793706,-0.3341466704484093,0.07916607432178367,0.007876030854397253,-0.19732694651536298,0.1478349465861954,0.039494339398586875,0.1013177989199882,0
org.apache.velocity.anakia.AnakiaElement,0.00046381122339123195,0.00196614586452218,0.006645091052823118,-0.010600047246432718,-0.00450455317541402,-0.011792438874653728,0.003092968472369916,-0.05000488276510583,-0.026355042820522145,-0.0018176655716659383,0.0655343721278317,-0.07219313178838248,0.0302972979668055,0.0537649399448969,-0.06954375289882661,-0.040421721000972764,-0.030331297886336865,-0.08719945095526806,-0.17203720637245595,0.41067587386159404,0.3401149429676759,0.447553285643986,0.13584681815169838,0.38889160781224946,-0.4331779808587524,0.06332861749436705,0.008123668183933716,0.17256064255412526,-0.02101026992341223,-0.2082058683147077,0.13085418361226456,-0.042749411615940855,0
org.apache.velocity.anakia.AnakiaJDOMFactory,0.002188733350044704,0.0088247632947826,0.02177079339208858,-0.024454463522854915,-0.010088945469171062,-0.019958466645986772,0.020442334366297936,-0.0720285101506167,-0.022658526930637322,-0.009271391827388491,0.09948180400198434,-0.0757239997197646,0.02183843869652472,0.05161360958465605,-0.036917008091195656,-0.014995480367850967,-0.12430161129250236,-0.10982553965154865,-0.18954025027231278,0.31399433293662227,0.16823913812086022,0.33604177688819853,0.39037385076355874,0.23000176776764472,-0.5659781286243234,-0.13899168905489936,-0.10392611592409706,0.13927077807963165,-0.1703132229204219,-0.1593632275878561,0.18514506578364487,-0.06855738805586886,0
org.apache.velocity.anakia.AnakiaTask,0.021109965955750515,0.047957798601080126,0.10916097155765181,-0.09861760334735699,-0.038851954762474016,-0.08635334255526662,0.0012139785255352337,-0.23379360079019265,-0.12174439192723305,0.0012327292961901513,0.2045877148042493,-0.24944760262029858,0.1031161302962316,0.15645601601664036,-0.1967140479901109,-0.10168738273755562,0.049684845035636874,-0.09850801750487069,-0.17045683022559482,0.5475887445187131,0.31935791422952275,0.2116501475258299,-0.2461235224862577,0.16029158387120182,0.17590549021462337,0.1803834251621348,0.09635261134313486,-0.05822752948123627,0.15025679966529198,0.09677795306075028,-0.1559431916931733,0.04879125414748496,0
org.apache.velocity.anakia.Escape,0.003663282325482844,0.014561889702530329,0.03514710635873421,-0.03755309734399455,-0.01532337525448311,-0.02900291139915619,0.0321372005123037,-0.09614917956855222,-0.025677017486424192,-0.014140005929976754,0.1280757483494553,-0.0866275559305407,0.019551195693149757,0.0538579496858425,-0.023045766854410628,-0.0001834310413906255,-0.17711797328897974,-0.11861768066582298,-0.18773943808941213,0.2124963550277209,-0.0040748259590343665,0.15955482547101765,0.5035029173111025,0.060362677973727456,-0.5725058524459266,-0.2757679714489374,-0.15726897839810494,0.10436233013290272,-0.24608530478041418,-0.043006935381484056,0.20764650026558878,-0.061310512007533874,0
org.apache.velocity.anakia.NodeList,0.000613141596906638,0.0024951207925503803,0.008369856220293,-0.013025521707101015,-0.0055740514611139,-0.014447392055588901,0.0020447492954442903,-0.06038912199681002,-0.032736121571361305,-0.0008783823212159977,0.07556942615637624,-0.086897345334694,0.03839764602358865,0.06479368771416635,-0.08438778896564059,-0.05149317471003909,-0.013410299814907664,-0.08893327678678117,-0.17816503167821598,0.4669911212326633,0.40152259398014806,0.47589855002997256,0.049239133215363926,0.39383341565833574,-0.3061603949504661,0.1193746642257265,0.028207688876883387,0.12244153368870737,0.03702768335861941,-0.1876609004835434,0.04039790182424018,-0.030819110133453356,0
org.apache.velocity.anakia.OutputWrapper,0.003663282325482845,0.014561889702530344,0.03514710635873425,-0.03755309734399472,-0.015323375254483107,-0.029002911399156554,0.03213720051230609,-0.09614917956854976,-0.025677017486425355,-0.014140005929977188,0.12807574834945493,-0.08662755593054185,0.019551195693149347,0.05385794968584214,-0.023045766854407516,-0.00018343104139017505,-0.17711797328897766,-0.11861768066582426,-0.18773943808941274,0.21249635502772202,-0.004074825959032919,0.15955482547101715,0.5035029173111036,0.060362677973726624,-0.5725058524459274,-0.2757679714489381,-0.15726897839810242,0.10436233013290186,-0.24608530478041302,-0.04300693538148314,0.2076465002655878,-0.06131051200753103,0
org.apache.velocity.anakia.TreeWalker,0.001920870505256844,0.007774380052623931,0.019217205684644023,-0.021681392420311106,-0.008911614505107518,-0.017731996891782998,0.01872440145400346,-0.06371154315060303,-0.019774997756693353,-0.00877499603636182,0.0888580819405565,-0.066623619366484,0.018133914981877487,0.04493233066553652,-0.031948339005583734,-0.011174281321771751,-0.11970071734173135,-0.10271555845252603,-0.17679605109820126,0.2780039707504804,0.13689846989033755,0.3068604080465668,0.3955639898759893,0.2253137964657687,-0.5950708379932416,-0.14755882597362127,-0.09939105797175388,0.16231843646743027,-0.18158160111661864,-0.1593624073962158,0.22220652297802113,-0.06768170363373964,0
org.apache.velocity.anakia.XPathCache,0.0003799661321920981,0.001654925974576144,0.0056842497089450985,-0.009320289541352425,-0.004018682220067032,-0.010501389248707166,0.0028954712524619603,-0.0462173475946425,-0.02405266190635941,-0.0016522730387003846,0.06220376732880747,-0.06801473650081737,0.028839645385176447,0.05157500755337423,-0.06467797047116469,-0.03899803328115975,-0.030387771568968606,-0.08515231589703898,-0.16788012324749865,0.41141685546509593,0.3526124945408776,0.4666255049509956,0.13650683716167963,0.3871602090418942,-0.4121365777616804,0.06887615211083625,-0.00011940030691250427,0.15171467236053005,-0.02118587742674379,-0.22596993039170707,0.10777827886632936,-0.048636332903702124,0
